Number_of_Customers,Menu_Price,Marketing_Spend,Cuisine_Type,Average_Customer_Spending,Promotions,Reviews,Monthly_Revenue
11,32.62033389,5.061168656,American,33.76197862,1,87,-28.97780879
93,38.64716299,15.62340848,American,33.58613981,1,32,387.0318044
69,33.96117459,16.50264392,Mexican,12.69507486,1,71,424.5034802
80,43.07195311,9.909042069,Italian,43.26163145,0,87,385.9386454
53,48.36299178,7.726978197,Mexican,17.09306213,1,49,291.8133288
17,23.70097029,9.002488648,American,38.92286544,0,83,136.685594
56,19.09403932,4.539293887,Mexican,40.90683953,0,15,239.0277439
44,26.9438745,17.78781832,Italian,38.59598136,0,75,328.2755963
87,21.51718466,9.012393135,Japanese,33.15910586,0,76,313.5640786
90,34.59801053,17.64918881,Japanese,10.58435988,0,38,459.3053087
45,46.47409635,2.113869598,Mexican,24.41501969,1,88,312.9120107
59,15.56464777,19.76550542,Italian,34.19357717,0,45,325.1018811
13,14.03178412,8.865461749,Japanese,25.49805184,0,95,76.65350206
11,20.24062127,0.956616408,Mexican,44.5391958,0,87,163.8073293
15,39.04382344,0.760436965,Mexican,22.35209101,1,46,113.2107886
63,33.71851621,14.92414515,Italian,21.7413917,1,43,242.1051453
13,14.08850657,13.18071068,American,20.63990772,1,8,112.0015302
63,46.75002089,16.04261116,Mexican,23.31123476,1,86,326.2939592
72,41.60338548,2.107350679,American,32.29619857,1,49,330.2542096
27,10.92090419,0.711417341,American,38.28061177,1,76,178.572959
99,36.05468844,10.17158579,Japanese,36.50271671,1,59,363.2381375
53,40.84986674,7.75190463,American,42.3087128,0,95,326.9734099
43,24.97741479,9.238938733,Italian,45.43655982,0,14,233.3247689
83,12.75686157,19.83176818,Japanese,42.64316169,1,35,367.6532909
71,13.09284262,19.41499915,Japanese,10.75781613,0,62,262.5682778
23,14.16987864,18.84630779,Japanese,39.43671814,0,68,140.8462541
57,43.61758528,15.67685354,Mexican,18.33598294,1,85,308.708379
24,46.42744793,7.096827205,Mexican,15.31712171,0,79,250.1765183
81,14.91243127,8.242618605,American,35.53955139,0,40,308.4835922
87,19.43624138,10.99232087,Japanese,22.78972782,1,73,251.2093448
96,16.62082041,16.61068913,Japanese,12.28468653,0,23,563.3813324
71,17.45283518,1.37425665,Italian,15.50518938,1,81,221.3899269
49,43.49963156,8.485937718,American,10.03717667,1,48,354.0511695
94,23.28585651,1.652353269,Italian,46.12894509,0,17,327.1516584
89,22.45777056,10.29315173,American,10.98471935,0,6,334.9565374
91,19.09582484,17.97801648,American,18.37823078,0,3,391.8035009
62,34.31577575,15.64969849,Mexican,26.65051123,1,89,380.1445807
33,25.17222794,4.556848351,Mexican,24.26285304,1,68,41.59068666
35,39.76998607,19.51981699,Italian,46.46903508,1,59,199.9911442
98,18.22319234,13.34700796,American,11.61155783,0,54,432.7392218
69,41.51159555,0.208553988,Japanese,30.48858831,0,15,279.7553194
50,34.14886127,5.108269694,Mexican,37.2191785,1,98,325.8872649
38,14.570692,5.214265998,Japanese,47.26791895,0,89,98.06199096
24,26.58018337,1.385086126,Italian,34.81485008,0,81,128.4403363
54,44.54072562,19.19653036,Mexican,42.15020944,1,28,371.9437925
74,46.91840927,9.565105892,Mexican,13.34899751,1,22,307.7723269
98,28.62800489,17.91629195,American,25.43758044,0,13,365.4749116
80,29.23347912,6.444310069,Italian,24.95788538,1,78,419.892437
18,46.738189,2.504671409,American,45.45152866,0,48,135.0952899
97,33.48272897,9.486722198,Mexican,16.05484685,1,32,412.5826517
10,11.31386681,2.279132694,Italian,16.07544689,1,24,-27.61027601
17,46.50997852,9.72031006,Mexican,23.142326,1,20,131.2350416
97,19.92905771,18.40594362,Italian,12.17864189,0,16,449.0210765
72,33.10527816,10.41536284,Mexican,17.29832163,0,22,401.9888859
20,16.6205327,12.32999454,Japanese,48.60838554,1,56,98.58966672
90,11.35516641,3.132768739,Japanese,27.12735759,1,80,204.7213793
17,22.45892685,0.874712518,American,35.28076834,1,57,-25.45342991
44,41.2198283,2.216159244,Japanese,39.04445037,0,13,196.3214949
44,21.10348691,11.97063151,Mexican,24.67845628,1,92,251.8456981
42,18.80388856,1.90023398,Mexican,15.88908298,1,19,194.4723994
14,18.50723137,7.519857799,Japanese,18.26324065,1,29,83.55896435
50,30.6069473,11.00183881,American,22.53065906,1,18,365.8905363
37,49.02165263,7.773055973,Japanese,35.44273681,0,52,241.2438154
16,28.35955952,3.273676029,Italian,25.93122196,0,55,154.8721373
82,32.29221476,5.47582615,Italian,10.27258792,1,76,229.2625114
81,44.42528072,18.56635066,Italian,30.9362874,0,81,376.7581595
21,31.40278876,13.51964551,Japanese,46.86053568,0,22,130.0347865
43,17.37851486,9.920956774,Japanese,42.48310444,0,61,221.9570694
42,21.98383647,0.2542978,Japanese,43.00845485,1,32,200.6812301
57,22.39747705,19.84830801,Italian,41.8023207,0,17,306.330244
32,25.89272462,13.4290987,American,22.94923302,0,72,130.277355
71,27.07155621,6.338449547,Mexican,40.60775335,0,32,289.8920296
97,41.99128088,17.5853732,Japanese,15.72645431,1,31,448.3815013
46,23.97547996,5.168632406,American,36.30864589,1,60,156.9067705
53,28.72927314,10.88033158,Mexican,35.66274267,0,53,389.0985156
95,34.99903948,12.72141527,Mexican,11.02279196,0,16,476.4561107
44,25.1090379,4.421267429,Mexican,41.51880534,1,18,160.3854626
74,43.46259253,19.56794558,American,46.1299242,1,90,490.2307266
56,33.49814417,14.96383812,American,20.69661114,0,69,288.7082461
87,21.76178717,11.15626451,Italian,42.49562897,0,98,278.6971706
12,38.56236799,3.611891964,American,13.29623887,1,33,58.90983174
10,31.10590921,1.07716414,American,33.99871433,1,83,76.56291267
14,31.37823565,6.40119665,American,29.42587461,0,24,157.5013266
99,29.24351794,15.06374672,Mexican,31.83694133,1,67,461.1858325
23,29.88047795,5.386625966,Japanese,47.04820808,0,73,266.4799919
36,40.61425124,10.79112441,Italian,44.85260989,0,73,101.7397794
18,14.11925917,14.55894353,Japanese,41.40334629,0,87,209.8282253
88,23.37451245,2.158874293,Japanese,20.94793831,1,84,333.8217984
24,13.02013455,13.70596032,American,46.47274515,0,10,181.7307571
99,40.12984883,1.837417754,Italian,13.9003077,0,90,341.0259733
51,20.89207419,19.30259484,Japanese,44.13316866,1,15,271.4703792
86,45.89721639,9.767882601,Japanese,23.12640289,1,89,489.9498646
60,31.06313867,3.013522154,Italian,12.15089247,0,60,282.188614
72,42.02999086,6.847672721,American,36.77427937,0,93,357.4846908
61,49.15725742,8.268328986,Japanese,19.25119713,1,79,371.7087958
13,43.59155438,15.16370022,Mexican,19.74284503,1,6,115.0898635
32,44.6797504,14.86847572,Japanese,22.24188665,1,15,151.8647318
24,26.31937981,12.23881011,Mexican,12.5473907,0,98,63.00779063
52,32.06890381,2.118614251,American,17.08508577,0,15,203.3759881
38,20.15554256,3.031387432,Japanese,10.2055851,0,39,224.6209835
45,17.84452399,1.875138413,Italian,27.81638084,1,11,174.6028056
22,30.22031516,11.54345567,Italian,13.3702151,0,34,160.4799298
41,33.80195919,17.54276883,Japanese,37.3061042,1,20,252.6859901
80,23.57084984,8.676010245,American,19.42491405,0,49,355.5429149
68,32.77774071,3.216963479,American,47.74296576,1,42,245.170225
95,45.4984193,11.1608465,Italian,44.8500651,0,99,472.4465972
37,32.26886339,16.23504434,Japanese,21.5776358,0,16,152.3316354
75,38.83252385,14.83424123,American,41.32861819,1,31,461.4226661
51,42.21259869,17.62901559,Italian,42.12979619,1,40,280.4429944
54,49.54915128,5.558041945,Mexican,49.46252456,0,5,264.632079
71,34.12789609,3.879077345,Japanese,33.91359947,1,87,299.6345076
66,42.27400596,17.59632972,Mexican,13.27862939,1,26,384.9893461
15,48.50597274,13.15120626,Mexican,35.87348916,0,19,208.8922763
37,47.77638902,6.2185786,American,34.99918994,1,24,247.3137544
37,15.64327395,14.84696101,American,35.5340231,0,65,114.5216964
53,26.25569233,16.30236769,American,22.28582592,0,8,366.7007793
93,22.95960244,12.29956481,Japanese,44.3871834,1,91,374.6946211
39,13.4770006,13.7576822,Mexican,48.37888732,1,52,282.1283025
71,35.329631,7.505198089,Japanese,18.70850052,0,60,284.2144476
84,39.43618453,10.77391335,American,13.52608633,0,37,347.2142781
98,43.92512382,10.48318341,Mexican,17.78140133,0,2,383.5234315
71,14.91107559,16.96095582,Japanese,42.82208557,0,83,399.7027714
10,45.05776304,16.79927961,Japanese,37.06578539,0,69,157.593608
36,35.71702254,16.65360939,Italian,35.44189369,0,96,281.1399417
71,38.15784541,0.220632285,Japanese,26.0717254,1,54,243.0342553
86,46.42496014,14.99090969,American,33.11311886,1,0,340.6267178
12,34.99045084,15.1735278,Japanese,22.31496501,1,69,162.6838914
79,23.43463429,13.56757646,Mexican,29.08800318,0,44,279.2886934
81,43.00429326,15.12529316,Japanese,41.72252113,1,97,385.0488273
36,24.52236849,16.83940743,Italian,49.2496639,0,46,238.0065897
18,11.36912443,9.406381082,Mexican,47.29955694,0,78,113.6556177
71,43.22618026,10.04100427,Mexican,47.35463771,1,25,359.898749
46,23.8076858,2.494281138,Italian,26.08894939,0,13,227.949084
60,40.95338093,7.707517661,American,28.75159522,0,53,231.6345442
53,24.51031579,12.8673036,Mexican,38.22541585,0,70,344.3766981
33,44.4427208,15.60799552,American,46.88767712,0,45,258.3128436
88,18.780421,4.344181954,Mexican,15.67977037,0,30,292.4033827
68,48.98189061,2.756457983,Mexican,22.16967455,0,87,217.3504514
41,41.19035099,13.26084009,American,15.56987378,1,58,269.644218
97,14.56951704,0.03759767,Mexican,34.4803412,0,94,300.3599903
61,32.6310648,3.567451686,American,22.25203988,0,28,275.4038574
71,49.41469249,0.581427607,Italian,23.0443141,0,95,270.5133607
67,28.84261811,3.337702357,American,12.83663838,0,16,366.2391636
61,17.28428555,3.626385599,Italian,23.99184247,1,13,205.3492661
21,29.39113469,7.753471895,Mexican,44.4998603,1,35,226.3917444
48,30.49830624,8.046542494,American,19.32291248,0,57,362.2557787
11,39.66747777,17.48524941,Mexican,37.80749865,0,23,163.5019343
12,37.95383413,10.20219425,American,35.1851338,0,62,140.2683836
65,26.10200174,14.46809531,Italian,44.53938433,1,90,258.3387278
90,18.7209243,2.082747158,Italian,15.29151791,1,24,284.7478321
68,35.80216671,4.508775109,American,49.10359841,1,58,261.2324669
11,26.86815738,14.05886882,Italian,33.30514584,1,31,136.8781096
11,15.29104845,1.056079209,Mexican,49.81896609,0,81,138.2696452
63,46.02289205,9.731953245,Mexican,46.46058903,1,17,363.4186198
96,37.6488743,11.98737931,Japanese,18.86069088,1,36,384.7706242
10,37.32735426,12.04291288,Italian,12.2464804,0,25,236.4496811
28,42.90335504,0.458656225,Mexican,20.22556375,0,8,164.6375348
11,31.18646715,6.442160085,American,31.10254596,1,98,57.31941977
62,42.60217714,12.72981302,Italian,16.86385468,1,63,325.5445588
53,29.92363014,2.979994723,Mexican,16.69838978,1,71,233.7958127
99,12.687016,13.90831297,Italian,28.50374188,1,19,436.7806564
41,26.20992352,14.91850418,American,11.33071885,0,53,215.0685303
79,29.89859576,19.63938381,Mexican,14.8755233,0,85,432.0267035
41,38.80810327,4.196839897,Japanese,26.63445358,1,82,278.8993453
77,14.26314921,16.50261335,Japanese,12.52519637,1,29,308.9682697
64,15.60074155,10.40593154,Italian,25.87020226,1,52,254.1584923
84,20.54735211,7.469251923,American,28.96025064,1,91,267.6304698
65,20.65993573,2.447535147,Mexican,28.05066456,1,98,199.9807309
26,39.28738314,14.71011213,American,44.7669943,0,62,224.9284042
47,20.02922642,4.717151983,Mexican,31.2024982,0,10,258.7153264
33,35.32392253,7.428440037,Italian,28.7192185,0,30,269.238539
78,29.77095401,1.250844538,Mexican,26.42836982,1,48,290.8349706
79,32.93177513,16.02733832,American,42.70493513,1,99,262.777638
95,43.52427853,15.33177048,American,45.80226416,0,93,409.3034161
20,26.17526006,14.6723166,Italian,44.12969877,0,86,193.0134803
25,40.83645508,5.98887021,American,36.94186313,1,18,180.661047
82,26.88144238,3.469601485,Mexican,15.49446984,0,11,285.4671803
68,24.15485506,12.75106529,Italian,21.07479878,1,14,328.6551331
79,48.34508709,9.923327682,Mexican,11.84252255,1,30,443.9866368
89,17.37483683,3.565049338,American,47.232963,0,42,301.1595741
12,13.61347842,13.71822542,Italian,36.43194119,0,36,96.37982086
29,40.83943702,19.82252864,Mexican,39.85451537,0,78,252.9834074
68,12.72998821,14.94439175,American,22.46286958,1,28,315.8337353
45,43.48315963,14.79972773,American,43.82614089,1,25,397.6446395
28,27.48773585,19.00625506,Japanese,20.38413135,0,1,237.5759044
99,46.62054709,4.058727351,American,10.06575028,1,83,404.5022097
76,38.86131444,11.3109993,Mexican,25.0565985,1,14,350.3093698
28,34.41618668,19.5929343,Italian,32.83045924,1,3,304.476143
29,47.97227188,3.305882219,Japanese,29.14819432,0,85,300.8587017
80,25.86597492,14.00503919,American,44.4830457,1,49,356.1079961
61,48.16347746,11.71620292,American,14.21621144,0,37,343.3628636
42,15.4000511,11.72958184,American,32.15293763,0,22,228.6471401
49,29.35019768,13.95341255,Mexican,30.51917399,1,58,166.4859381
48,20.7964489,18.59233846,Japanese,21.25571929,0,89,277.1865625
91,31.59371116,15.6516388,Mexican,42.8891245,1,74,424.0417604
10,16.48055512,1.122722068,Japanese,40.11394624,0,27,46.67513578
20,43.66118641,17.0545604,Italian,39.31436749,0,65,202.2323645
66,43.85631397,4.510826599,Mexican,45.04769913,1,7,268.0038012
98,48.20945251,7.538283295,Mexican,38.91138402,0,28,458.7283629
59,16.18688564,9.234656272,Italian,19.27365167,0,10,310.2055017
32,34.93330204,9.618120015,Japanese,38.22250847,0,17,219.0541329
40,28.96949235,8.703607985,American,22.30811254,1,54,388.9162198
51,23.77534928,18.74706588,Italian,19.68698601,1,49,291.3070946
16,24.06160645,14.12038015,American,12.92014372,0,13,116.011228
25,26.51174202,12.62341292,American,39.76114321,0,73,149.1359037
99,38.19702199,0.996840556,Italian,38.44003848,0,98,356.1414009
69,33.93144233,18.07826661,Japanese,19.37997911,1,8,308.5063722
11,28.38726051,18.18780384,American,39.97516067,1,98,241.8505908
10,13.03733641,15.60426127,Italian,46.71363532,0,10,142.6744769
57,13.11061376,0.140584076,Mexican,14.3211583,1,62,221.8492868
21,10.09357563,1.145605022,Mexican,19.30546554,1,75,158.559878
78,48.70797553,4.504474045,Mexican,40.01043176,1,66,307.9686104
46,10.21015274,2.626988163,Italian,20.98026694,1,52,120.2269498
41,14.12374984,7.976720594,Mexican,34.98655897,0,38,276.8719589
18,22.58386227,18.45246116,American,13.24656898,1,77,89.21713909
28,42.29721007,9.441208684,Mexican,28.08809916,1,55,153.3087716
57,48.48395143,0.268052529,Mexican,39.56365688,0,27,283.6463855
89,41.60054235,5.654913792,American,37.46055772,0,74,424.2944992
12,37.6224093,0.891898167,Mexican,42.60288403,1,38,73.048537
29,30.8520267,0.725752452,American,45.09808506,1,24,193.8420028
33,13.46820847,5.514397062,Mexican,40.92734005,0,20,181.3720251
63,48.32683172,5.512246774,American,36.86350972,0,9,295.9440034
42,40.33569656,15.74253205,Mexican,11.26889967,0,42,306.2799142
33,35.55797541,19.49669306,American,31.39866694,1,14,206.8633648
84,40.36143382,7.424141878,Italian,11.507909,1,82,413.004619
81,38.96413317,8.577737577,American,42.32271268,0,47,434.1430938
45,35.48926319,16.89578873,Mexican,22.82898098,1,85,213.3767241
47,49.22307201,5.362780402,Mexican,32.49717496,0,20,186.8682213
93,46.13455251,3.127636088,Japanese,21.17781229,1,59,308.1363814
98,35.86659676,17.06179247,American,41.30000578,0,95,464.1886581
34,37.72700846,0.930011729,Italian,45.46010107,0,49,221.8614914
27,12.06383227,12.3939888,American,25.94569977,1,22,158.0483244
91,36.79669858,11.23985695,American,44.51689574,1,12,382.7124179
75,11.76661751,6.91840895,Italian,20.6830003,1,68,296.3168077
63,33.53055028,6.303790422,American,31.38643692,1,3,318.5696854
44,49.97413998,15.43715452,Italian,44.35045719,1,91,330.7138193
89,32.23226326,1.728492215,Italian,23.0352537,1,77,330.3941751
70,28.92840472,4.735686186,American,48.1616906,0,71,349.2052774
50,22.51419426,14.64897464,American,14.87518007,1,8,307.8453531
42,14.82090315,10.96641167,Mexican,10.73100279,0,34,208.1580688
77,39.24094686,2.559764171,Mexican,46.1654141,0,20,398.5663825
42,17.70396111,17.64271229,Japanese,12.74594665,1,57,269.0819814
23,14.61128085,7.868956931,Japanese,49.67556784,0,17,131.166999
30,26.87050639,16.55736751,American,48.05587448,0,96,391.9728499
57,41.81367352,15.75426031,Italian,15.4808364,1,71,288.5322251
29,39.80258192,12.48850893,Japanese,31.50338503,1,80,165.6309604
17,12.19530459,9.889622626,American,17.3968119,1,42,99.8022674
16,28.2057474,19.59101681,Japanese,27.12620692,0,94,281.0757323
76,30.89738304,2.899301448,Italian,12.45700517,1,97,406.3648505
26,35.78186603,14.50311455,American,18.95698351,1,5,271.721235
42,36.00669402,3.823814029,Italian,24.53091186,1,85,249.136435
57,24.58788998,6.765262107,American,27.54590001,1,77,187.7977805
85,32.42708776,6.173974867,Japanese,49.09985033,0,66,346.2718972
68,29.24247535,18.94071975,Mexican,42.31462583,1,11,233.1435954
95,45.39993426,19.34712356,Japanese,39.49639777,0,99,522.7666363
31,31.21060531,3.660308885,Japanese,31.48165259,1,11,235.4213325
39,27.64128647,0.440703206,Mexican,43.59991042,0,65,172.9336307
47,26.17941799,14.40016079,Mexican,23.57291343,0,1,321.7673344
60,32.89711038,8.359798677,American,38.35596451,0,14,234.9335908
63,42.15907918,1.776804902,American,49.75135902,1,22,230.3129584
17,31.53605962,13.67508211,Italian,22.58515636,0,28,201.3184206
36,36.466207,10.90211057,Italian,36.9607014,1,80,246.5948799
36,39.51423068,19.61033644,Japanese,43.77259457,1,95,291.8101925
30,30.8067244,4.548189917,Mexican,46.63230333,1,6,27.15113597
39,27.07268227,8.079557527,Italian,38.71730764,1,93,244.6490118
37,45.06661511,10.85091607,Japanese,21.34431694,1,27,285.2456746
73,26.70024336,15.83399977,Mexican,23.05128606,0,13,308.8283974
78,28.47771402,10.97677313,American,10.83032128,1,43,374.4070008
70,49.61365253,12.25800322,Japanese,40.43543911,0,29,300.3489903
57,10.00950094,4.522941032,American,11.70958424,0,80,244.5486958
28,17.41891638,16.93837456,Italian,44.58609418,0,31,159.6923291
13,25.3585556,8.572610939,Italian,14.74642458,0,69,210.8077187
44,47.30359638,2.81919255,Mexican,16.87506049,0,87,252.1820121
73,12.80118823,13.28375829,Japanese,29.06105883,0,5,372.3558883
58,10.37941735,4.321809064,American,39.51521661,0,26,270.6884077
26,12.10735344,1.951250205,Mexican,15.56008821,1,81,184.7136561
53,13.54173642,17.23973817,Italian,27.602843,0,87,251.3293657
39,11.50387093,9.20324529,Italian,29.31405098,1,23,139.5220891
55,29.19125307,14.98567425,Japanese,18.49142567,0,33,286.278497
15,33.23028829,5.811751196,American,14.62233507,0,39,155.7636668
46,20.86747884,15.7394027,Japanese,43.45683692,0,46,286.1998055
33,25.93149536,2.23871854,American,30.09862599,0,78,143.3425137
55,13.6679734,7.119467476,American,10.57524944,1,74,140.1916724
62,23.45481855,19.56123636,Japanese,42.11925205,1,85,245.661809
69,30.90076767,15.87979433,Mexican,49.23175222,1,23,264.8550625
72,39.29087229,9.945118606,Japanese,34.23704782,0,64,402.7605942
94,10.13385448,6.795549431,Japanese,30.14833548,0,17,254.6415017
41,28.69243066,17.442714,Italian,45.13663452,0,43,267.4654382
96,21.88011506,10.89695518,Italian,48.10067159,1,75,460.829895
42,44.11287287,15.16850036,Japanese,40.18147664,0,56,314.1676277
76,38.62213261,15.08215361,Japanese,27.81811719,1,27,484.9508482
27,33.56434138,0.358913571,Italian,33.68885597,1,70,164.7211441
34,21.09062583,2.525075656,American,38.0374146,0,22,216.4565973
63,46.41356408,13.19258733,Japanese,17.77094284,0,84,281.4750959
67,11.80402709,3.232396226,Mexican,27.88804129,1,33,234.2347987
76,14.37870395,5.109866893,Mexican,43.19285059,1,10,174.0834241
55,25.66520562,18.93275908,Mexican,36.18901394,1,85,364.0336258
33,14.97750229,11.20364517,Japanese,26.44816269,0,34,300.0270934
41,48.2566279,15.01459014,American,36.53450136,0,92,263.8036196
56,41.91957289,11.15961478,American,14.72889648,0,41,318.3322992
95,20.35930606,11.0502723,Italian,26.05990442,0,27,294.5890405
32,33.54216916,1.883038203,Japanese,41.72514152,0,81,202.2351329
75,49.2932206,6.873263852,American,18.82035149,0,77,406.0549437
36,45.36795913,5.648617974,Japanese,17.4384603,1,81,144.5060822
11,34.03193786,7.814567312,Italian,48.0327464,1,91,163.929111
99,46.14895869,15.96688376,Italian,18.39590518,1,23,459.0697423
26,49.56739639,7.438653358,Italian,20.43674319,0,7,238.4688011
42,39.73411292,9.033936385,Mexican,48.78463756,1,52,256.6323989
18,12.59945638,7.94762781,Japanese,39.38834281,0,71,126.5993077
52,26.06320946,1.86815944,Italian,37.98386132,0,3,249.2636199
57,43.51302941,8.821443165,Japanese,44.11705535,1,90,249.1352861
48,19.22276783,3.912185461,Mexican,14.63292329,0,99,227.1060701
51,43.22570071,3.734465915,Mexican,38.23824946,1,4,256.9056662
35,14.81355048,1.880722089,Italian,30.14754437,1,96,122.2985143
59,11.87781429,7.133419483,Italian,43.16602561,0,48,158.6342068
34,25.36362446,15.1496377,American,30.32566875,1,97,240.5400057
33,11.4692775,5.528833812,Japanese,34.80965417,1,29,237.9437898
22,48.29081052,6.246982038,Italian,29.10968506,1,71,198.886609
69,43.04822783,12.85349315,American,29.12635694,1,62,380.6134146
16,42.03078749,3.916816252,Japanese,40.71879912,0,46,264.0589653
66,35.19111692,17.93915861,Italian,35.14265603,1,25,339.0892755
45,18.65296092,10.40381047,American,35.33052806,1,56,197.3275369
54,30.73041467,8.952058806,American,28.01129935,1,36,173.0227527
29,33.8909629,11.15640384,Japanese,31.24437985,0,97,50.91547366
74,31.00126003,3.320686268,American,39.82870665,1,6,269.1761795
17,20.40933472,12.26946277,Japanese,43.03763676,0,39,181.1958148
25,30.60991697,7.262014733,Japanese,37.86245609,1,91,109.2163583
23,29.64745363,17.94372682,Japanese,46.96291955,1,38,197.817202
85,49.85343103,3.377084134,Mexican,42.81296353,1,61,374.1600239
96,45.89744592,10.14102208,American,32.47455159,0,91,353.8519756
24,28.53522993,11.96225259,Japanese,36.85624291,0,77,185.7354753
75,34.91749532,0.667672036,Italian,47.05233108,0,52,326.8374472
41,39.91486416,7.273862495,Mexican,34.76672177,0,3,336.2227678
96,11.39460641,14.65270469,Mexican,42.99227792,0,81,324.0212621
72,45.79685765,16.40755015,American,37.55242014,0,24,376.373954
95,44.40507266,6.263239896,Japanese,32.07745444,1,6,399.2691103
60,28.29728391,15.97186545,American,19.67352782,0,27,293.0874415
34,25.64679064,19.35511754,Mexican,27.03990078,1,68,278.8705847
67,20.91837499,17.13747872,Japanese,48.70971299,0,66,300.9057773
72,29.06707313,2.352879763,Italian,36.31061533,0,94,302.6967588
71,11.77506654,14.79460664,Japanese,32.57581521,0,19,288.9048253
31,44.08774133,6.393336649,Mexican,47.31826502,1,82,234.3481646
67,11.41689474,19.76831979,Italian,33.46047124,0,10,263.463877
67,23.16205461,9.707179663,Japanese,31.04330074,0,66,300.5994886
95,47.26357953,2.448677967,Italian,40.37243421,1,86,480.7545138
58,39.40850618,14.50371096,Italian,38.50662476,1,6,255.1177213
61,21.25563842,6.460223968,Mexican,17.72640034,1,22,214.8227571
51,20.10596376,19.94156314,Italian,28.85233098,1,60,267.7270824
79,10.20328559,19.59564916,American,28.90061771,0,70,408.1658206
24,37.82857171,13.12268036,Mexican,25.12898061,1,33,231.9747141
63,11.95134327,2.596528979,American,30.69173929,0,18,83.0636909
69,31.30410078,13.73721995,Italian,26.52429591,0,57,412.9268001
17,48.4848789,1.860609729,American,17.97381958,1,8,211.389448
62,14.3787544,0.587283182,Japanese,26.49465949,0,47,141.5435209
69,45.77919724,16.45916892,Italian,12.8910779,1,81,325.0684297
14,49.65901341,4.195058954,Japanese,33.03143451,0,40,292.2978294
